datetime,temperatureC,do_mgL,ph,depth_m
12/10/2025 03:03,28.06,2.1,7.51,0.18
12/10/2025 03:03,28.06,2.15,7.5,0.2
12/10/2025 03:03,28.06,2.1,7.78,0.07
12/10/2025 03:03,28.06,02.04,7.76,0.2
12/10/2025 03:03,28.06,02.08,7.74,0.18
12/10/2025 03:03,28.06,1.94,7.69,0.18
12/10/2025 03:03,28.06,2,7.68,0.19
12/10/2025 03:04,28.06,02.06,7.66,0.19
12/10/2025 03:04,28.06,02.06,4.55,0.09
12/10/2025 03:04,28.06,02.06,4.86,0.19
12/10/2025 03:04,28.06,1.98,4.59,0.21
12/10/2025 03:04,28.06,1.98,6.82,0.18
12/10/2025 03:05,28.06,1.82,3.8,0.16
12/10/2025 03:05,28.06,1.82,3.8,0.19
12/10/2025 03:05,28.06,1.87,7.85,0.17
12/10/2025 03:05,28.06,1.89,8.15,0.19
12/10/2025 03:05,28.06,1.92,7.68,0.13
12/10/2025 03:06,28.06,02.05,7.59,0.16
12/10/2025 03:06,28.06,1.91,7.57,0.18
12/10/2025 03:06,28.06,1.94,3.8,0.18
12/10/2025 03:06,28.06,1.92,3.8,0.21
12/10/2025 03:06,28.06,1.96,7.32,0.19
12/10/2025 03:07,28.06,1.93,3.8,0.21
12/10/2025 03:07,28.06,2.15,3.8,0.16
12/10/2025 03:07,28.06,2.19,3.8,0.18
12/10/2025 03:07,28.06,2.17,3.8,0.2
12/10/2025 03:08,28.06,02.09,7.78,0.18
12/10/2025 03:08,28.06,2.14,9,0.17
12/10/2025 03:08,28.06,2.33,8.97,0.22
12/10/2025 03:08,28.06,2.21,8.96,0.18
12/10/2025 03:08,28.06,2.17,8.97,0.18
12/10/2025 03:09,28.06,02.01,8.99,0.2
12/10/2025 03:09,28.06,1.91,8.98,0.19
12/10/2025 03:09,28.06,1.78,8.93,0.2
12/10/2025 03:09,28.06,1.74,8.9,0.17
12/10/2025 03:09,28.06,1.7,8.73,0.2
12/10/2025 03:09,28.06,02.07,8.71,0.19
12/10/2025 03:10,28.06,2.17,8.27,0.13
12/10/2025 03:10,28.06,2.17,8.26,0.19
12/10/2025 03:10,28.06,2.19,8.26,0.2
12/10/2025 03:12,28.12,2.65,3.8,0.17
12/10/2025 03:12,28.12,3.19,3.8,0.2
12/10/2025 03:12,28.19,3.92,3.8,0.17
12/10/2025 03:13,28.12,3.34,3.8,0.18
12/10/2025 03:13,28.12,2.9,3.8,0.13
12/10/2025 03:13,28.12,3.19,3.8,0.18
12/10/2025 03:13,28.12,3.2,3.8,0.19
12/10/2025 03:13,28.12,03.04,3.8,0.65
12/10/2025 03:14,28,2.13,3.8,01.07
12/10/2025 03:14,28,1.69,3.8,1.1
12/10/2025 03:14,28,1.57,3.8,1.16
12/10/2025 03:14,28,1.55,3.8,01.08
12/10/2025 03:15,28,1.91,3.8,0.19
12/10/2025 03:15,28.06,2.57,3.8,01.09
12/10/2025 03:15,28,1.62,3.8,01.06
12/10/2025 03:15,28,1.37,3.8,01.07
12/10/2025 03:15,28,1.29,3.8,01.03
12/10/2025 03:15,28,1.33,3.8,0.61
12/10/2025 03:15,28,1.39,3.8,0.13
12/10/2025 03:15,28,1.62,3.8,0.15
12/10/2025 03:16,28.12,3.68,3.8,0.72
12/10/2025 03:16,28.12,3.36,3.8,01.02
12/10/2025 03:16,28.06,2.9,3.8,0.98
12/10/2025 03:16,28,2.18,3.8,01.01
12/10/2025 03:16,28,1.94,3.8,1
12/10/2025 03:16,28,1.84,3.8,1
12/10/2025 03:16,28,1.74,3.8,01.02
12/10/2025 03:16,28,1.7,3.8,01.02
12/10/2025 03:16,28,1.61,3.8,01.03
12/10/2025 03:16,28,1.57,3.8,1
12/10/2025 03:16,28,1.49,3.8,0.67
12/10/2025 03:16,28,1.75,3.8,0.15
12/10/2025 03:16,28,02.01,3.8,0.18
12/10/2025 03:17,28.19,3.45,3.8,0.18
12/10/2025 03:18,28.19,3.25,3.8,0.16
12/10/2025 03:18,28.19,3.17,3.8,0.2
12/10/2025 03:18,28.19,3.17,3.8,0.18
12/10/2025 03:18,28.19,3.29,3.8,0.16
12/10/2025 03:18,28.19,3.17,3.8,0.18
12/10/2025 03:19,29.19,5.38,5.44,0.12
12/10/2025 03:19,29.56,5.3,4.84,0.1
12/10/2025 03:19,29.69,6.86,4.55,0.09
12/10/2025 03:20,28.44,2.6,3.8,0.14
12/10/2025 03:20,28.38,2.43,3.8,0.1
12/10/2025 03:20,28.31,2.31,3.8,0.15
12/10/2025 03:20,28.31,2.29,3.8,0.18
12/10/2025 03:20,28.25,2.36,3.8,0.15
12/10/2025 03:20,28.19,2.32,3.8,0.16
12/10/2025 03:20,28.19,2.45,3.8,0.14
12/10/2025 03:20,28.19,2.32,3.8,0.04
12/10/2025 03:21,28.12,2.41,3.8,0.13
12/10/2025 03:21,28.19,2.48,3.8,0.15
12/10/2025 03:21,28.19,2.66,3.8,0.17
12/10/2025 03:21,28.19,2.81,3.8,0.18
12/10/2025 03:21,28.19,2.89,3.8,0.17
12/10/2025 03:21,28.19,2.99,3.8,0.19
12/10/2025 03:21,28.19,03.09,3.8,0.18
12/10/2025 03:21,28.19,3.14,3.8,0.11
12/10/2025 03:21,28.19,3.14,3.8,0.2
12/10/2025 03:21,28.19,3.11,3.8,0.17
12/10/2025 03:22,28.19,03.05,3.8,0.16
12/10/2025 03:22,28.12,2.93,3.8,0.15
12/10/2025 03:22,28.12,2.85,3.8,0.16
12/10/2025 03:22,28.12,2.73,3.8,0.17
12/10/2025 03:22,28.12,2.64,3.8,0.16
12/10/2025 03:22,28.12,2.52,3.8,0.15
12/10/2025 03:22,28.12,2.44,3.8,0.18
12/10/2025 03:22,28.12,2.44,3.8,0.17
12/10/2025 03:22,28.12,2.46,3.8,0.18
12/10/2025 03:22,28.12,2.6,3.8,0.15
12/10/2025 03:22,28.12,2.72,3.8,0.18
12/10/2025 03:22,28.12,2.73,3.8,0.16
12/10/2025 03:22,28.12,2.7,3.8,0.14
12/10/2025 03:22,28.12,2.74,3.8,0.15
12/10/2025 03:22,28.12,2.88,3.8,0.15
12/10/2025 03:22,28.19,2.97,3.8,0.19
12/10/2025 03:22,28.19,03.02,3.8,0.18
12/10/2025 03:22,28.19,03.03,3.8,0.18
12/10/2025 03:22,28.19,3.1,3.8,0.13
12/10/2025 03:22,28.12,2.97,3.8,0.42
12/10/2025 03:22,28.12,2.87,3.8,0.84
12/10/2025 03:22,28.12,2.65,3.8,01.07
12/10/2025 03:22,28.06,2.27,3.8,01.07
12/10/2025 03:22,28.06,1.95,3.8,01.09
12/10/2025 03:22,28,1.71,3.8,01.09
12/10/2025 03:22,28,1.55,3.8,01.09
12/10/2025 03:22,28,1.48,3.8,1.11
12/10/2025 03:22,28,1.48,3.8,1.1
12/10/2025 03:23,28,1.44,3.8,01.06
12/10/2025 03:23,28,1.5,3.8,1
12/10/2025 03:23,28,1.48,3.8,01.07
12/10/2025 03:23,28,1.39,3.8,01.09
12/10/2025 03:23,28,1.4,3.8,1.1
12/10/2025 03:23,28,1.33,3.8,1.1
12/10/2025 03:23,28,1.35,3.8,01.09
12/10/2025 03:24,28,1.24,3.8,01.07
12/10/2025 03:24,28,1.2,3.8,01.07
12/10/2025 03:24,28,1.13,3.8,1.11
12/10/2025 03:24,28,1.13,3.8,1.1
12/10/2025 03:24,28,1.17,3.8,01.09
12/10/2025 03:24,28,1.1,3.8,1.1
12/10/2025 03:24,28,1.15,3.8,01.07
12/10/2025 03:24,28,1.17,3.8,01.06
12/10/2025 03:24,28,1.15,3.8,01.08
12/10/2025 03:24,28,1.13,3.8,01.07
12/10/2025 03:24,28,1.11,3.8,1.1
12/10/2025 03:24,28,1.1,3.8,1.11
12/10/2025 03:24,28,1.12,3.8,1.11
12/10/2025 03:24,28,1.1,3.8,01.06
12/10/2025 03:25,28,1.38,3.8,0.15
12/10/2025 03:25,28,1.46,3.8,0.16
12/10/2025 03:25,28,1.49,3.8,0.18
12/10/2025 03:25,28,1.53,3.8,0.18
12/10/2025 03:25,28,1.55,3.8,0.2
12/10/2025 03:25,28,1.57,3.8,0.17
12/10/2025 03:25,28,1.61,3.8,0.11
12/10/2025 03:25,28,1.62,3.8,0.16
12/10/2025 03:25,28.06,1.62,3.8,0.2
12/10/2025 03:25,28,1.57,3.8,0.18
12/10/2025 03:25,28,1.67,3.8,0.16
12/10/2025 03:25,28.06,1.79,3.8,0.08
12/10/2025 03:25,28.06,1.74,3.8,0.16
12/10/2025 03:25,28.06,1.89,3.8,0.15
12/10/2025 03:25,28.06,1.9,3.8,0.2
12/10/2025 03:26,28.06,2.65,3.8,0.19
12/10/2025 03:26,28.06,2.52,3.8,0.16
12/10/2025 03:26,28.06,2.4,3.8,0.18
12/10/2025 03:26,28.06,2.3,3.8,0.13
12/10/2025 03:26,28.12,2.32,3.8,0.14
12/10/2025 03:26,28.06,2.33,3.8,0.36
12/10/2025 03:27,28.06,2.36,3.8,0.16
12/10/2025 03:27,28.06,2.46,3.8,0.16
12/10/2025 03:27,28.12,2.57,3.8,0.16
12/10/2025 03:27,28.12,2.57,3.8,0.18
12/10/2025 03:27,28.12,2.65,3.8,0.17
12/10/2025 03:27,28.12,2.43,3.8,0.15
12/10/2025 03:27,28.12,2.42,3.8,0.19
12/10/2025 03:27,28.06,2.35,3.8,0.15
12/10/2025 03:27,28.06,2.31,3.8,0.15
12/10/2025 03:27,28.06,2.29,3.8,0.16
12/10/2025 03:28,28.19,3.38,3.8,0.16
12/10/2025 03:30,28.25,4.31,3.8,0.16
12/10/2025 03:30,28.12,3.24,3.8,1.1
12/10/2025 03:30,28,02.09,3.8,01.07
12/10/2025 03:30,28,1.94,3.8,01.08
12/10/2025 03:30,28,1.77,3.8,01.07
12/10/2025 03:30,28,1.72,3.8,01.09
12/10/2025 03:30,28,1.7,3.8,1.1
12/10/2025 03:30,28,1.65,3.8,01.06
12/10/2025 03:30,28,1.6,3.8,01.08
12/10/2025 03:30,28,1.62,3.8,01.09
12/10/2025 03:30,28,1.55,3.8,0.99
12/10/2025 03:30,28,1.48,3.8,01.09
12/10/2025 03:30,28,1.41,3.8,01.08
12/10/2025 03:30,28,1.41,3.8,1.11
12/10/2025 03:30,28,1.39,3.8,1.1
12/10/2025 03:30,28,1.34,3.8,01.06
12/10/2025 03:30,28,1.41,3.8,01.07
12/10/2025 03:30,28,1.37,3.8,01.07
12/10/2025 03:30,28,1.39,3.8,01.06
12/10/2025 03:30,28,1.4,3.8,01.07
12/10/2025 03:30,28,1.33,3.8,01.09
12/10/2025 03:30,28,1.34,3.8,1
12/10/2025 03:30,28,1.29,3.8,01.08
12/10/2025 03:30,28,1.24,3.8,01.05
12/10/2025 03:31,28,1.27,3.8,01.06
12/10/2025 03:31,27.94,1.27,3.8,0.67
12/10/2025 03:31,28,1.88,3.8,0.2
12/10/2025 03:31,28,02.06,3.8,0.15
12/10/2025 03:31,28,2.29,3.8,0.2
12/10/2025 03:31,28,2.48,3.8,0.16
12/10/2025 03:31,28,2.52,3.8,0.15
12/10/2025 03:31,28,2.43,3.8,0.18
12/10/2025 03:31,28,2.36,3.8,0.19
12/10/2025 03:31,28.06,2.43,3.8,0.18
12/10/2025 03:32,28.06,2.42,3.8,0.17
12/10/2025 03:32,28.06,2.36,3.8,0.16
12/10/2025 03:32,28.06,2.29,3.8,0.17
12/10/2025 03:32,28.06,2.26,3.8,0.18
12/10/2025 03:37,28.94,4.32,3.8,0.13
12/10/2025 03:37,29.06,4.45,3.8,0.17
12/10/2025 03:37,29.12,4.46,3.8,0.12
12/10/2025 03:37,29.12,4.47,3.8,0.17
12/10/2025 03:37,29.12,4.57,3.8,0.13
12/10/2025 03:37,28.06,1.94,3.8,01.09
12/10/2025 03:38,28.06,1.85,3.8,1.11
12/10/2025 03:38,28,1.78,3.8,01.06
12/10/2025 03:38,28,1.67,3.8,01.07
12/10/2025 03:38,28,1.57,3.8,01.04
12/10/2025 03:38,28,1.5,3.8,01.07
12/10/2025 03:38,28,1.45,3.8,01.09
12/10/2025 03:38,27.94,1.27,3.8,1.12
12/10/2025 03:38,27.94,1.22,3.8,01.07
12/10/2025 03:38,27.94,1.22,3.8,1.1
12/10/2025 03:38,27.94,1.24,3.8,01.07
12/10/2025 03:38,27.94,1.15,3.8,01.08
12/10/2025 03:38,27.94,1.18,3.8,0.83
12/10/2025 03:38,27.94,1.22,3.8,0.36
12/10/2025 03:38,27.94,1.39,3.8,0.19
12/10/2025 03:38,28,2.6,3.8,0.12
12/10/2025 03:38,28,2.9,3.8,0.15
12/10/2025 03:39,28.19,3.4,3.8,0.13
12/10/2025 03:39,28.75,3.95,3.8,0.14
12/10/2025 03:39,28.88,04.06,3.8,0.15
12/10/2025 03:39,28.94,4.38,3.8,0.15
12/10/2025 03:39,29,4.42,3.8,0.15
12/10/2025 03:39,29,4.32,3.8,0.13
12/10/2025 03:39,29,4.41,3.8,0.2
12/10/2025 03:39,28.94,4.38,3.8,0.2
12/10/2025 03:39,28.81,4.18,3.8,0.58
12/10/2025 03:39,28.56,4.12,3.8,01.04
12/10/2025 03:40,28.06,1.76,3.8,01.06
12/10/2025 03:40,28.06,1.71,3.8,0.71
12/10/2025 03:40,28,1.7,3.8,0.18
12/10/2025 03:40,28,1.91,3.8,0.16
12/10/2025 03:40,28.06,2.21,3.8,0.15
12/10/2025 03:40,28.12,2.65,3.8,0.16
12/10/2025 03:40,28.25,03.09,3.8,0.16
12/10/2025 03:40,28.44,3.44,3.8,0.17
12/10/2025 03:40,28.62,3.73,3.8,0.14
12/10/2025 03:40,28.75,4,3.8,0.14
12/10/2025 03:40,29,4.46,3.8,0.16
12/10/2025 03:40,29,4.4,3.8,0.14
12/10/2025 03:40,29,4.32,3.8,0.08
12/10/2025 03:40,28.88,4.3,3.8,0.15
12/10/2025 03:40,28.62,3.9,3.8,0.56
12/10/2025 03:41,28.12,2.55,3.8,01.08
12/10/2025 03:41,28,02.08,3.8,0.23
12/10/2025 03:41,28,2.21,3.8,0.13
12/10/2025 03:41,28,2.23,3.8,0.12
12/10/2025 03:41,28,2.58,3.8,0.13
12/10/2025 03:41,28.06,2.86,3.8,0.16
12/10/2025 03:41,28.25,3.22,3.8,0.14
12/10/2025 03:41,28.75,4.18,3.8,0.13
12/10/2025 03:44,28.06,2.36,3.8,01.05
12/10/2025 03:44,28,1.96,3.8,01.05
12/10/2025 03:44,28,1.85,3.8,01.06
12/10/2025 03:45,28,1.77,3.8,0.99
12/10/2025 03:45,28,1.7,3.8,0.73
12/10/2025 03:45,27.94,1.84,3.8,0.17
12/10/2025 03:45,28,02.06,3.8,0.21
12/10/2025 03:45,28,2.21,3.8,0.58
